title,Category,Category Description,Published,summary
Autoproof: Automated Segmentation Proofreading for Connectomics,cs.CV,Computer Vision,2025-09-30,"Producing connectomes from electron microscopy (EM) images has historically
required a great deal of human proofreading effort. This manual annotation cost
is the current bottleneck in scaling EM connectomics, for example, in making
larger connectome reconstructions feasible, or in enabling comparative
connectomics where multiple related reconstructions are produced. In this work,
we propose using the available ground-truth data generated by this manual
annotation effort to learn a machine learning model to automate or optimize
parts of the required proofreading workflows. We validate our approach on a
recent complete reconstruction of the \emph{Drosophila} male central nervous
system. We first show our method would allow for obtaining 90\% of the value of
a guided proofreading workflow while reducing required cost by 80\%. We then
demonstrate a second application for automatically merging many segmentation
fragments to proofread neurons. Our system is able to automatically attach 200
thousand fragments, equivalent to four proofreader years of manual work, and
increasing the connectivity completion rate of the connectome by 1.3\% points."
Fairness Testing in Retrieval-Augmented Generation: How Small Perturbations Reveal Bias in Small Language Models,cs.AI,Artificial Intelligence,2025-09-30,"Large Language Models (LLMs) are widely used across multiple domains but
continue to raise concerns regarding security and fairness. Beyond known attack
vectors such as data poisoning and prompt injection, LLMs are also vulnerable
to fairness bugs. These refer to unintended behaviors influenced by sensitive
demographic cues (e.g., race or sexual orientation) that should not affect
outcomes. Another key issue is hallucination, where models generate plausible
yet false information. Retrieval-Augmented Generation (RAG) has emerged as a
strategy to mitigate hallucinations by combining external retrieval with text
generation. However, its adoption raises new fairness concerns, as the
retrieved content itself may surface or amplify bias. This study conducts
fairness testing through metamorphic testing (MT), introducing controlled
demographic perturbations in prompts to assess fairness in sentiment analysis
performed by three Small Language Models (SLMs) hosted on HuggingFace
(Llama-3.2-3B-Instruct, Mistral-7B-Instruct-v0.3, and Llama-3.1-Nemotron-8B),
each integrated into a RAG pipeline. Results show that minor demographic
variations can break up to one third of metamorphic relations (MRs). A detailed
analysis of these failures reveals a consistent bias hierarchy, with
perturbations involving racial cues being the predominant cause of the
violations. In addition to offering a comparative evaluation, this work
reinforces that the retrieval component in RAG must be carefully curated to
prevent bias amplification. The findings serve as a practical alert for
developers, testers and small organizations aiming to adopt accessible SLMs
without compromising fairness or reliability."
Graphite: A GPU-Accelerated Mixed-Precision Graph Optimization Framework,cs.RO,Unknown Category,2025-09-30,"We present Graphite, a GPU-accelerated nonlinear graph optimization
framework. It provides a CUDA C++ interface to enable the sharing of code
between a realtime application, such as a SLAM system, and its optimization
tasks. The framework supports techniques to reduce memory usage, including
in-place optimization, support for multiple floating point types and
mixed-precision modes, and dynamically computed Jacobians. We evaluate Graphite
on well-known bundle adjustment problems and find that it achieves similar
performance to MegBA, a solver specialized for bundle adjustment, while
maintaining generality and using less memory. We also apply Graphite to global
visual-inertial bundle adjustment on maps generated from stereo-inertial SLAM
datasets, and observe speed ups of up to 59x compared to a CPU baseline. Our
results indicate that our solver enables faster large-scale optimization on
both desktop and resource-constrained devices."
Source Separation for A Cappella Music,cs.SD,Unknown Category,2025-09-30,"In this work, we study the task of multi-singer separation in a cappella
music, where the number of active singers varies across mixtures. To address
this, we use a power set-based data augmentation strategy that expands limited
multi-singer datasets into exponentially more training samples. To separate
singers, we introduce SepACap, an adaptation of SepReformer, a state-of-the-art
speaker separation model architecture. We adapt the model with periodic
activations and a composite loss function that remains effective when stems are
silent, enabling robust detection and separation. Experiments on the JaCappella
dataset demonstrate that our approach achieves state-of-the-art performance in
both full-ensemble and subset singer separation scenarios, outperforming
spectrogram-based baselines while generalizing to realistic mixtures with
varying numbers of singers."
Efficient Approximation Algorithms for Fair Influence Maximization under Maximin Constraint,cs.DS,Unknown Category,2025-09-30,"Aiming to reduce disparities of influence across different groups, Fair
Influence Maximization (FIM) has recently garnered widespread attention. The
maximin constraint, a common notion of fairness adopted in the FIM problem,
imposes a direct and intuitive requirement that asks the utility (influenced
ratio within a group) of the worst-off group should be maximized. Although the
objective of FIM under maximin constraint is conceptually straightforward, the
development of efficient algorithms with strong theoretical guarantees remains
an open challenge. The difficulty arises from the fact that the maximin
objective does not satisfy submodularity, a key property for designing
approximate algorithms in traditional influence maximization settings. In this
paper, we address this challenge by proposing a two-step optimization framework
consisting of Inner-group Maximization (IGM) and Across-group Maximization
(AGM). We first prove that the influence spread within any individual group
remains submodular, enabling effective optimization within groups. Based on
this, IGM applies a greedy approach to pick high-quality seeds for each group.
In the second step, AGM coordinates seed selection across groups by introducing
two strategies: Uniform Selection (US) and Greedy Selection (GS). We prove that
AGM-GS holds a $(1 - 1/e - \varepsilon)$ approximation to the optimal solution
when groups are completely disconnected, while AGM-US guarantees a roughly
$\frac{1}{m}(1 - 1/e - \varepsilon)$ lower bound regardless of the group
structure, with $m$ denoting the number of groups"
Linking Process to Outcome: Conditional Reward Modeling for LLM Reasoning,cs.LG,Machine Learning,2025-09-30,"Process Reward Models (PRMs) have emerged as a promising approach to enhance
the reasoning capabilities of large language models (LLMs) by guiding their
step-by-step reasoning toward a final answer. However, existing PRMs either
treat each reasoning step in isolation, failing to capture inter-step
dependencies, or struggle to align process rewards with the final outcome.
Consequently, the reward signal fails to respect temporal causality in
sequential reasoning and faces ambiguous credit assignment. These limitations
make downstream models vulnerable to reward hacking and lead to suboptimal
performance. In this work, we propose Conditional Reward Modeling (CRM) that
frames LLM reasoning as a temporal process leading to a correct answer. The
reward of each reasoning step is not only conditioned on the preceding steps
but also explicitly linked to the final outcome of the reasoning trajectory. By
enforcing conditional probability rules, our design captures the causal
relationships among reasoning steps, with the link to the outcome allowing
precise attribution of each intermediate step, thereby resolving credit
assignment ambiguity. Further, through this consistent probabilistic modeling,
the rewards produced by CRM enable more reliable cross-sample comparison.
Experiments across Best-of-N sampling, beam search and reinforcement learning
demonstrate that CRM consistently outperforms existing reward models, offering
a principled framework for enhancing LLM reasoning. In particular, CRM is more
robust to reward hacking and delivers stable downstream improvements without
relying on verifiable rewards derived from ground truth."
Importance of localized dilatation and distensibility in identifying determinants of thoracic aortic aneurysm with neural operators,cs.LG,Machine Learning,2025-09-30,"Thoracic aortic aneurysms (TAAs) arise from diverse mechanical and
mechanobiological disruptions to the aortic wall that increase the risk of
dissection or rupture. Evidence links TAA development to dysfunctions in the
aortic mechanotransduction axis, including loss of elastic fiber integrity and
cell-matrix connections. Because distinct insults create different mechanical
vulnerabilities, there is a critical need to identify interacting factors that
drive progression. Here, we use a finite element framework to generate
synthetic TAAs from hundreds of heterogeneous insults spanning varying degrees
of elastic fiber damage and impaired mechanosensing. From these simulations, we
construct spatial maps of localized dilatation and distensibility to train
neural networks that predict the initiating combined insult. We compare several
architectures (Deep Operator Networks, UNets, and Laplace Neural Operators) and
multiple input data formats to define a standard for future subject-specific
modeling. We also quantify predictive performance when networks are trained
using only geometric data (dilatation) versus both geometric and mechanical
data (dilatation plus distensibility). Across all networks, prediction errors
are significantly higher when trained on dilatation alone, underscoring the
added value of distensibility information. Among the tested models, UNet
consistently provides the highest accuracy across all data formats. These
findings highlight the importance of acquiring full-field measurements of both
dilatation and distensibility in TAA assessment to reveal the mechanobiological
drivers of disease and support the development of personalized treatment
strategies."
The Trajectory Bundle Method: Unifying Sequential-Convex Programming and Sampling-Based Trajectory Optimization,math.OC,Unknown Category,2025-09-30,"We present a unified framework for solving trajectory optimization problems
in a derivative-free manner through the use of sequential convex programming.
Traditionally, nonconvex optimization problems are solved by forming and
solving a sequence of convex optimization problems, where the cost and
constraint functions are approximated locally through Taylor series expansions.
This presents a challenge for functions where differentiation is expensive or
unavailable. In this work, we present a derivative-free approach to form these
convex approximations by computing samples of the dynamics, cost, and
constraint functions and letting the solver interpolate between them. Our
framework includes sample-based trajectory optimization techniques like
model-predictive path integral (MPPI) control as a special case and generalizes
them to enable features like multiple shooting and general equality and
inequality constraints that are traditionally associated with derivative-based
sequential convex programming methods. The resulting framework is simple,
flexible, and capable of solving a wide variety of practical motion planning
and control problems."
Probing the Critical Point (CritPt) of AI Reasoning: a Frontier Physics Research Benchmark,cs.AI,Artificial Intelligence,2025-09-30,"While large language models (LLMs) with reasoning capabilities are
progressing rapidly on high-school math competitions and coding, can they
reason effectively through complex, open-ended challenges found in frontier
physics research? And crucially, what kinds of reasoning tasks do physicists
want LLMs to assist with? To address these questions, we present the CritPt
(Complex Research using Integrated Thinking - Physics Test, pronounced
""critical point""), the first benchmark designed to test LLMs on unpublished,
research-level reasoning tasks that broadly covers modern physics research
areas, including condensed matter, quantum physics, atomic, molecular & optical
physics, astrophysics, high energy physics, mathematical physics, statistical
physics, nuclear physics, nonlinear dynamics, fluid dynamics and biophysics.
CritPt consists of 71 composite research challenges designed to simulate
full-scale research projects at the entry level, which are also decomposed to
190 simpler checkpoint tasks for more fine-grained insights. All problems are
newly created by 50+ active physics researchers based on their own research.
Every problem is hand-curated to admit a guess-resistant and machine-verifiable
answer and is evaluated by an automated grading pipeline heavily customized for
advanced physics-specific output formats. We find that while current
state-of-the-art LLMs show early promise on isolated checkpoints, they remain
far from being able to reliably solve full research-scale challenges: the best
average accuracy among base models is only 4.0% , achieved by GPT-5 (high),
moderately rising to around 10% when equipped with coding tools. Through the
realistic yet standardized evaluation offered by CritPt, we highlight a large
disconnect between current model capabilities and realistic physics research
demands, offering a foundation to guide the development of scientifically
grounded AI tools."
AI-assisted Advanced Propellant Development for Electric Propulsion,astro-ph.IM,Unknown Category,2025-09-30,"Artificial Intelligence algorithms are introduced in this work as a tool to
predict the performance of new chemical compounds as alternative propellants
for electric propulsion, focusing on predicting their ionisation
characteristics and fragmentation patterns. The chemical properties and
structure of the compounds are encoded using a chemical fingerprint, and the
training datasets are extracted from the NIST WebBook. The AI-predicted
ionisation energy and minimum appearance energy have a mean relative error of
6.87% and 7.99%, respectively, and a predicted ion mass with a 23.89% relative
error. In the cases of full mass spectra due to electron ionisation, the
predictions have a cosine similarity of 0.6395 and align with the top 10 most
similar mass spectra in 78% of instances within a 30 Da range."
Parametric Neural Amp Modeling with Active Learning,cs.LG,Machine Learning,2025-09-30,"We introduce Panama, an active learning framework to train parametric guitar
amp models end-to-end using a combination of an LSTM model and a WaveNet-like
architecture. With \model, one can create a virtual amp by recording samples
that are determined through an ensemble-based active learning strategy to
minimize the amount of datapoints needed (i.e., amp knob settings). Our
strategy uses gradient-based optimization to maximize the disagreement among
ensemble models, in order to identify the most informative datapoints. MUSHRA
listening tests reveal that, with 75 datapoints, our models are able to match
the perceptual quality of NAM, the leading open-source non-parametric amp
modeler."
DeepProv: Behavioral Characterization and Repair of Neural Networks via Inference Provenance Graph Analysis,cs.CR,Unknown Category,2025-09-30,"Deep neural networks (DNNs) are increasingly being deployed in high-stakes
applications, from self-driving cars to biometric authentication. However,
their unpredictable and unreliable behaviors in real-world settings require new
approaches to characterize and ensure their reliability.
  This paper introduces DeepProv, a novel and customizable system designed to
capture and characterize the runtime behavior of DNNs during inference by using
their underlying graph structure. Inspired by system audit provenance graphs,
DeepProv models the computational information flow of a DNN's inference process
through Inference Provenance Graphs (IPGs). These graphs provide a detailed
structural representation of the behavior of DNN, allowing both empirical and
structural analysis. DeepProv uses these insights to systematically repair DNNs
for specific objectives, such as improving robustness, privacy, or fairness.
  We instantiate DeepProv with adversarial robustness as the goal of model
repair and conduct extensive case studies to evaluate its effectiveness. Our
results demonstrate its effectiveness and scalability across diverse
classification tasks, attack scenarios, and model complexities. DeepProv
automatically identifies repair actions at the node and edge-level within IPGs,
significantly enhancing the robustness of the model. In particular, applying
DeepProv repair strategies to just a single layer of a DNN yields an average
55% improvement in adversarial accuracy. Moreover, DeepProv complements
existing defenses, achieving substantial gains in adversarial robustness.
Beyond robustness, we demonstrate the broader potential of DeepProv as an
adaptable system to characterize DNN behavior in other critical areas, such as
privacy auditing and fairness analysis."
Estimating Dimensionality of Neural Representations from Finite Samples,stat.ML,Unknown Category,2025-09-30,"The global dimensionality of a neural representation manifold provides rich
insight into the computational process underlying both artificial and
biological neural networks. However, all existing measures of global
dimensionality are sensitive to the number of samples, i.e., the number of rows
and columns of the sample matrix. We show that, in particular, the
participation ratio of eigenvalues, a popular measure of global dimensionality,
is highly biased with small sample sizes, and propose a bias-corrected
estimator that is more accurate with finite samples and with noise. On
synthetic data examples, we demonstrate that our estimator can recover the true
known dimensionality. We apply our estimator to neural brain recordings,
including calcium imaging, electrophysiological recordings, and fMRI data, and
to the neural activations in a large language model and show our estimator is
invariant to the sample size. Finally, our estimators can additionally be used
to measure the local dimensionalities of curved neural manifolds by weighting
the finite samples appropriately."
Radio-based Multi-Robot Odometry and Relative Localization,cs.RO,Unknown Category,2025-09-30,"Radio-based methods such as Ultra-Wideband (UWB) and RAdio Detection And
Ranging (radar), which have traditionally seen limited adoption in robotics,
are experiencing a boost in popularity thanks to their robustness to harsh
environmental conditions and cluttered environments. This work proposes a
multi-robot UGV-UAV localization system that leverages the two technologies
with inexpensive and readily-available sensors, such as Inertial Measurement
Units (IMUs) and wheel encoders, to estimate the relative position of an aerial
robot with respect to a ground robot. The first stage of the system pipeline
includes a nonlinear optimization framework to trilaterate the location of the
aerial platform based on UWB range data, and a radar pre-processing module with
loosely coupled ego-motion estimation which has been adapted for a multi-robot
scenario. Then, the pre-processed radar data as well as the relative
transformation are fed to a pose-graph optimization framework with odometry and
inter-robot constraints. The system, implemented for the Robotic Operating
System (ROS 2) with the Ceres optimizer, has been validated in
Software-in-the-Loop (SITL) simulations and in a real-world dataset. The
proposed relative localization module outperforms state-of-the-art closed-form
methods which are less robust to noise. Our SITL environment includes a custom
Gazebo plugin for generating realistic UWB measurements modeled after real
data. Conveniently, the proposed factor graph formulation makes the system
readily extensible to full Simultaneous Localization And Mapping (SLAM).
Finally, all the code and experimental data is publicly available to support
reproducibility and to serve as a common open dataset for benchmarking."
The Invisible Mentor: Inferring User Actions from Screen Recordings to Recommend Better Workflows,cs.HC,Unknown Category,2025-09-30,"Many users struggle to notice when a more efficient workflow exists in
feature-rich tools like Excel. Existing AI assistants offer help only after
users describe their goals or problems, which can be effortful and imprecise.
We present InvisibleMentor, a system that turns screen recordings of task
completion into vision-grounded reflections on tasks. It detects issues such as
repetitive edits and recommends more efficient alternatives based on observed
behavior. Unlike prior systems that rely on logs, APIs, or user prompts,
InvisibleMentor operates directly on screen recordings. It uses a two-stage
pipeline: a vision-language model reconstructs actions and context, and a
language model generates structured, high-fidelity suggestions. In evaluation,
InvisibleMentor accurately identified inefficient workflows, and participants
found its suggestions more actionable, tailored, and more helpful for learning
and improvement compared to a prompt-based spreadsheet assistant."
Stable Cinemetrics : Structured Taxonomy and Evaluation for Professional Video Generation,cs.CV,Computer Vision,2025-09-30,"Recent advances in video generation have enabled high-fidelity video
synthesis from user provided prompts. However, existing models and benchmarks
fail to capture the complexity and requirements of professional video
generation. Towards that goal, we introduce Stable Cinemetrics, a structured
evaluation framework that formalizes filmmaking controls into four
disentangled, hierarchical taxonomies: Setup, Event, Lighting, and Camera.
Together, these taxonomies define 76 fine-grained control nodes grounded in
industry practices. Using these taxonomies, we construct a benchmark of prompts
aligned with professional use cases and develop an automated pipeline for
prompt categorization and question generation, enabling independent evaluation
of each control dimension. We conduct a large-scale human study spanning 10+
models and 20K videos, annotated by a pool of 80+ film professionals. Our
analysis, both coarse and fine-grained reveal that even the strongest current
models exhibit significant gaps, particularly in Events and Camera-related
controls. To enable scalable evaluation, we train an automatic evaluator, a
vision-language model aligned with expert annotations that outperforms existing
zero-shot baselines. SCINE is the first approach to situate professional video
generation within the landscape of video generative models, introducing
taxonomies centered around cinematic controls and supporting them with
structured evaluation pipelines and detailed analyses to guide future research."
"Towards Reliable Benchmarking: A Contamination Free, Controllable Evaluation Framework for Multi-step LLM Function Calling",cs.CL,Computation and Language,2025-09-30,"As language models gain access to external tools via structured function
calls, they become increasingly more capable of solving complex, multi-step
tasks. However, existing benchmarks for tool-augmented language models (TaLMs)
provide insufficient control over factors such as the number of functions
accessible, task complexity, and input size, and remain vulnerable to data
contamination. We present FuncBenchGen, a unified, contamination-free framework
that evaluates TaLMs by generating synthetic multi-step tool-use tasks. The key
idea is to cast tool use as traversal over a hidden function-dependency DAG
where nodes are function calls and an edge between nodes represents one
function consuming the output of another. Given a set of external function
schemas, initial variable values, and a target variable, models must compose
the correct call sequence to compute the target variable. FuncBenchGen allows
users to precisely control task difficulty (e.g., graph size, dependency depth,
and distractor functions) while avoiding data leakage. We apply our
FuncBenchGen framework to evaluate seven LLMs on tool use tasks of varying
difficulty. Reasoning-optimized models consistently outperform general-purpose
models with GPT-5 significantly outperforming other models. Performance
declines sharply as dependency depth increases. Furthermore, connected
irrelevant functions prove especially difficult to handle. We find that strong
models often make syntactically valid function calls but propagate incorrect or
stale argument values across steps, revealing brittle state tracking by LLMs in
multi-turn tool use. Motivated by this observation, we introduce a simple
mitigation strategy that explicitly restates prior variable values to the agent
at each step. Surprisingly, this lightweight change yields substantial gains
across models. e.g., yielding a success rate improvement from 62.5% to 81.3%
for GPT-5."
Pretrain-Test Task Alignment Governs Generalization in In-Context Learning,stat.ML,Unknown Category,2025-09-30,"In-context learning (ICL) is a central capability of Transformer models, but
the structures in data that enable its emergence and govern its robustness
remain poorly understood. In this work, we study how the structure of
pretraining tasks governs generalization in ICL. Using a solvable model for ICL
of linear regression by linear attention, we derive an exact expression for ICL
generalization error in high dimensions under arbitrary pretraining-testing
task covariance mismatch. This leads to a new alignment measure that quantifies
how much information about the pretraining task distribution is useful for
inference at test time. We show that this measure directly predicts ICL
performance not only in the solvable model but also in nonlinear Transformers.
Our analysis further reveals a tradeoff between specialization and
generalization in ICL: depending on task distribution alignment, increasing
pretraining task diversity can either improve or harm test performance.
Together, these results identify train-test task alignment as a key determinant
of generalization in ICL."
Automated and Scalable SEM Image Analysis of Perovskite Solar Cell Materials via a Deep Segmentation Framework,cond-mat.mtrl-sci,Unknown Category,2025-09-30,"Scanning Electron Microscopy (SEM) is indispensable for characterizing the
microstructure of thin films during perovskite solar cell fabrication. Accurate
identification and quantification of lead iodide and perovskite phases are
critical because residual lead iodide strongly influences crystallization
pathways and defect formation, while the morphology of perovskite grains
governs carrier transport and device stability. Yet current SEM image analysis
is still largely manual, limiting throughput and consistency. Here, we present
an automated deep learning-based framework for SEM image segmentation that
enables precise and efficient identification of lead iodide, perovskite and
defect domains across diverse morphologies. Built upon an improved YOLOv8x
architecture, our model named PerovSegNet incorporates two novel modules: (i)
Adaptive Shuffle Dilated Convolution Block, which enhances multi-scale and
fine-grained feature extraction through group convolutions and channel mixing;
and (ii) Separable Adaptive Downsampling module, which jointly preserves
fine-scale textures and large-scale structures for more robust boundary
recognition. Trained on an augmented dataset of 10,994 SEM images, PerovSegNet
achieves a mean Average Precision of 87.25% with 265.4 Giga Floating Point
Operations, outperforming the baseline YOLOv8x-seg by 4.08%, while reducing
model size and computational load by 24.43% and 25.22%, respectively. Beyond
segmentation, the framework provides quantitative grain-level metrics, such as
lead iodide/perovskite area and count, which can serve as reliable indicators
of crystallization efficiency and microstructural quality. These capabilities
establish PerovSegNet as a scalable tool for real-time process monitoring and
data-driven optimization of perovskite thin-film fabrication.The source code is
available at:https://github.com/wlyyj/PerovSegNet/tree/master."
Towards Verified Code Reasoning by LLMs,cs.SE,Unknown Category,2025-09-30,"While LLM-based agents are able to tackle a wide variety of code reasoning
questions, the answers are not always correct. This prevents the agent from
being useful in situations where high precision is desired: (1) helping a
software engineer understand a new code base, (2) helping a software engineer
during code review sessions, and (3) ensuring that the code generated by an
automated code generation system meets certain requirements (e.g. fixes a bug,
improves readability, implements a feature).
  As a result of this lack of trustworthiness, the agent's answers need to be
manually verified before they can be trusted. Manually confirming responses
from a code reasoning agent requires human effort and can result in slower
developer productivity, which weakens the assistance benefits of the agent. In
this paper, we describe a method to automatically validate the answers provided
by a code reasoning agent by verifying its reasoning steps. At a very high
level, the method consists of extracting a formal representation of the agent's
response and, subsequently, using formal verification and program analysis
tools to verify the agent's reasoning steps.
  We applied this approach to a benchmark set of 20 uninitialized variable
errors detected by sanitizers and 20 program equivalence queries. For the
uninitialized variable errors, the formal verification step was able to
validate the agent's reasoning on 13/20 examples, and for the program
equivalence queries, the formal verification step successfully caught 6/8
incorrect judgments made by the agent."
Stability Analysis of Thermohaline Convection With a Time-Varying Shear Flow Using the Lyapunov Method,physics.flu-dyn,Unknown Category,2025-09-30,"This work identifies instabilities and computes the growth rate of a linear
time-varying system using the Lyapunov method. The linear system describes cold
fresh water on top of hot salty water with a periodically time-varying
background shear flow. We employ a time-dependent weighting matrix to construct
a Lyapunov function candidate, and the resulting linear matrix inequalities
formulation is discretized in time using the forward Euler method. As the
number of temporal discretization points increases, the growth rate predicted
from the Lyapunov method or the Floquet theory will converge to the same value
as that obtained from numerical simulations. We also use the Lyapunov method to
analyze the instantaneous principal direction of instabilities and compare the
computational resources required by the Lyapunov method, numerical simulations,
and the Floquet theory."
Bayesian Influence Functions for Hessian-Free Data Attribution,cs.LG,Machine Learning,2025-09-30,"Classical influence functions face significant challenges when applied to
deep neural networks, primarily due to non-invertible Hessians and
high-dimensional parameter spaces. We propose the local Bayesian influence
function (BIF), an extension of classical influence functions that replaces
Hessian inversion with loss landscape statistics that can be estimated via
stochastic-gradient MCMC sampling. This Hessian-free approach captures
higher-order interactions among parameters and scales efficiently to neural
networks with billions of parameters. We demonstrate state-of-the-art results
on predicting retraining experiments."
The Unheard Alternative: Contrastive Explanations for Speech-to-Text Models,cs.CL,Computation and Language,2025-09-30,"Contrastive explanations, which indicate why an AI system produced one output
(the target) instead of another (the foil), are widely regarded in explainable
AI as more informative and interpretable than standard explanations. However,
obtaining such explanations for speech-to-text (S2T) generative models remains
an open challenge. Drawing from feature attribution techniques, we propose the
first method to obtain contrastive explanations in S2T by analyzing how parts
of the input spectrogram influence the choice between alternative outputs.
Through a case study on gender assignment in speech translation, we show that
our method accurately identifies the audio features that drive the selection of
one gender over another. By extending the scope of contrastive explanations to
S2T, our work provides a foundation for better understanding S2T models."
Voice Evaluation of Reasoning Ability: Diagnosing the Modality-Induced Performance Gap,eess.AS,Unknown Category,2025-09-30,"We present Voice Evaluation of Reasoning Ability (VERA), a benchmark for
evaluating reasoning ability in voice-interactive systems under real-time
conversational constraints. VERA comprises 2,931 voice-native episodes derived
from established text benchmarks and organized into five tracks (Math, Web,
Science, Long-Context, Factual). Each item is adapted for speech interaction
while preserving reasoning difficulty. VERA enables direct text-voice
comparison within model families and supports analysis of how architectural
choices affect reliability. We assess 12 contemporary voice systems alongside
strong text baselines and observe large, consistent modality gaps: on
competition mathematics a leading text model attains 74.8% accuracy while its
voice counterpart reaches 6.1%; macro-averaged across tracks the best text
models achieve 54.0% versus 11.3% for voice. Latency-accuracy analyses reveal a
low-latency plateau, where fast voice systems cluster around ~10% accuracy,
while approaching text performance requires sacrificing real-time interaction.
Diagnostic experiments indicate that common mitigations are insufficient.
Increasing ""thinking time"" yields negligible gains; a decoupled cascade that
separates reasoning from narration improves accuracy but still falls well short
of text and introduces characteristic grounding/consistency errors. Failure
analyses further show distinct error signatures across native streaming,
end-to-end, and cascade designs. VERA provides a reproducible testbed and
targeted diagnostics for architectures that decouple thinking from speaking,
offering a principled way to measure progress toward real-time voice assistants
that are both fluent and reliably reasoned."
TASP: Topology-aware Sequence Parallelism,cs.LG,Machine Learning,2025-09-30,"Long-context large language models (LLMs) face constraints due to the
quadratic complexity of the self-attention mechanism. The mainstream sequence
parallelism (SP) method, Ring Attention, attempts to solve this by distributing
the query into multiple query chunks across accelerators and enable each Q
tensor to access all KV tensors from other accelerators via the Ring AllGather
communication primitive. However, it exhibits low communication efficiency,
restricting its practical applicability. This inefficiency stems from the
mismatch between the Ring AllGather communication primitive it adopts and the
AlltoAll topology of modern accelerators. A Ring AllGather primitive is
composed of iterations of ring-styled data transfer, which can only utilize a
very limited fraction of an AlltoAll topology.
  Inspired by the Hamiltonian decomposition of complete directed graphs, we
identify that modern accelerator topology can be decomposed into multiple
orthogonal ring datapaths which can concurrently transfer data without
interference. Based on this, we further observe that the Ring AllGather
primitive can also be decomposed into the same number of concurrent ring-styled
data transfer at every iteration. Based on these insights, we propose TASP, a
topology-aware SP method for long-context LLMs that fully utilizes the
communication capacity of modern accelerators via topology decomposition and
primitive decomposition. Experimental results on both single-node and
multi-node NVIDIA H100 systems and a single-node AMD MI300X system demonstrate
that TASP achieves higher communication efficiency than Ring Attention on these
modern accelerator topologies and achieves up to 3.58 speedup than Ring
Attention and its variant Zigzag-Ring Attention. The code is available at
https://github.com/infinigence/HamiltonAttention."
Ferret-UI Lite: Lessons from Building Small On-Device GUI Agents,cs.CV,Computer Vision,2025-09-30,"Developing autonomous agents that effectively interact with Graphic User
Interfaces (GUIs) remains a challenging open problem, especially for small
on-device models. In this paper, we present Ferret-UI Lite, a compact,
end-to-end GUI agent that operates across diverse platforms, including mobile,
web, and desktop. Utilizing techniques optimized for developing small models,
we build our 3B Ferret-UI Lite agent through curating a diverse GUI data
mixture from real and synthetic sources, strengthening inference-time
performance through chain-of-thought reasoning and visual tool-use, and
reinforcement learning with designed rewards. Ferret-UI Lite achieves
competitive performance with other small-scale GUI agents. In GUI grounding,
Ferret-UI Lite attains scores of $91.6\%$, $53.3\%$, and $61.2\%$ on the
ScreenSpot-V2, ScreenSpot-Pro, and OSWorld-G benchmarks, respectively. For GUI
navigation, Ferret-UI Lite achieves success rates of $28.0\%$ on AndroidWorld
and $19.8\%$ on OSWorld. We share our methods and lessons learned from
developing compact, on-device GUI agents."
HilbertA: Hilbert Attention for Image Generation with Diffusion Models,cs.AI,Artificial Intelligence,2025-09-30,"Designing sparse attention for diffusion transformers requires reconciling
two-dimensional spatial locality with GPU efficiency, a trade-off that current
methods struggle to achieve. Existing approaches enforce two-dimensional
spatial locality but often incur uncoalesced memory access. We present
HilbertA, a 2D-aware and GPU-efficient sparse attention mechanism. HilbertA
reorders image tokens along Hilbert curves to achieve a contiguous memory
layout while preserving spatial neighborhoods, and employs a sliding schedule
across layers to enable long-range information propagation without repeated or
uncoalesced memory access. To further enhance cross-tile communication and
positional awareness, HilbertA introduces a small central shared region.
Implemented in Triton, HilbertA delivers comparable image quality with
significant acceleration over prior methods on Flux.1-dev, demonstrating the
feasibility of hardware-aligned two-dimensional sparse attention for
high-resolution image generation. HilbertA delivers attention speedups of
$2.3\times$ when generating $1024\times 1024$ images, and up to $4.17\times$ at
$2048\times 2048$, while achieving image quality comparable to or surpassing
baselines."
The Loss Kernel: A Geometric Probe for Deep Learning Interpretability,cs.LG,Machine Learning,2025-09-30,"We introduce the loss kernel, an interpretability method for measuring
similarity between data points according to a trained neural network. The
kernel is the covariance matrix of per-sample losses computed under a
distribution of low-loss-preserving parameter perturbations. We first validate
our method on a synthetic multitask problem, showing it separates inputs by
task as predicted by theory. We then apply this kernel to Inception-v1 to
visualize the structure of ImageNet, and we show that the kernel's structure
aligns with the WordNet semantic hierarchy. This establishes the loss kernel as
a practical tool for interpretability and data attribution."
